date,hour,da_price,imbalance_price,imbalance_mwh
2024-01-01,1,107.09,17.608,374.217
2024-01-01,2,104.0,26.483,25.843999999999998
2024-01-01,3,100.0,32.274,26.188999999999993
2024-01-01,4,85.66,176.71,-26.153
2024-01-01,5,85.0,37.067,159.469
2024-01-01,6,85.53,31.806,150.799
2024-01-01,7,95.07,56.099,207.50900000000001
2024-01-01,8,104.07,71.533,229.44
2024-01-01,9,106.95,69.997,596.7860000000001
2024-01-01,10,107.08,70.554,718.895
2024-01-01,11,104.0,55.002,566.215
2024-01-01,12,98.13,36.578,525.996
2024-01-01,13,101.55,57.369,598.4169999999999
2024-01-01,14,98.16,68.535,313.27700000000004
2024-01-01,15,98.17,8.861,71.671
2024-01-01,16,105.54,15.644,150.625
2024-01-01,17,110.0,72.272,174.62000000000003
2024-01-01,18,120.04,168.08,-30.837999999999994
2024-01-01,19,131.5,79.188,157.28199999999995
2024-01-01,20,132.0,79.217,134.90800000000002
2024-01-01,21,127.75,285.444,-102.554
2024-01-01,22,113.48,197.025,-56.784000000000006
2024-01-01,23,109.18,79.436,33.974999999999994
2024-01-01,24,107.2,58.746,28.311999999999998
2024-01-02,1,105.49,170.424,-99.45099999999998
2024-01-02,2,90.09,-51.409,89.216
2024-01-02,3,84.27,26.145,55.778000000000006
2024-01-02,4,84.27,120.05,-62.129
2024-01-02,5,84.27,77.921,0.5920000000000059
2024-01-02,6,100.0,166.129,-159.486
2024-01-02,7,108.28,43.153,254.44400000000002
2024-01-02,8,113.85,68.868,238.46699999999998
2024-01-02,9,126.9,86.967,511.838
2024-01-02,10,119.5,85.898,434.793
2024-01-02,11,110.6,79.962,442.252
2024-01-02,12,108.28,81.09,407.416
2024-01-02,13,105.88,80.994,413.88199999999995
2024-01-02,14,100.15,81.117,544.385
2024-01-02,15,108.28,-353.598,541.7719999999999
2024-01-02,16,110.0,84.716,288.5
2024-01-02,17,112.8,81.373,316.227
2024-01-02,18,129.99,81.022,326.376
2024-01-02,19,130.0,87.307,257.52500000000003
2024-01-02,20,124.29,87.294,301.822
2024-01-02,21,111.26,82.887,481.506
2024-01-02,22,108.28,82.84,467.6
2024-01-02,23,106.0,75.709,477.245
2024-01-02,24,92.41,73.624,273.087
2024-01-03,1,82.5,30.845,279.25
2024-01-03,2,70.1,13.01,202.225
2024-01-03,3,50.21346,-11.122,232.306
2024-01-03,4,40.0,0.134,294.84299999999996
2024-01-03,5,50.0,2.98,395.447
2024-01-03,6,75.0,11.409,359.662
2024-01-03,7,95.46,13.935,607.486
2024-01-03,8,108.28,79.967,890.036
2024-01-03,9,114.99561,78.459,815.201
2024-01-03,10,113.34489,85.305,405.236
2024-01-03,11,107.85233,42.965,511.2969999999999
2024-01-03,12,105.0,81.944,603.2189999999999
2024-01-03,13,92.04644,74.877,719.866
2024-01-03,14,91.59366,52.962,1048.908
2024-01-03,15,97.50897,65.392,757.8779999999999
2024-01-03,16,106.02775,60.281,469.32
2024-01-03,17,109.7411,81.122,331.86699999999996
2024-01-03,18,115.81,162.115,-35.778
2024-01-03,19,115.81,80.273,54.945
2024-01-03,20,115.81,87.564,158.822
2024-01-03,21,109.0,46.985,270.745
2024-01-03,22,106.0,78.871,184.89600000000002
2024-01-03,23,101.46,59.138,268.36899999999997
2024-01-03,24,82.59,24.973,63.15400000000001
2024-01-04,1,74.19,0.169,27.059999999999995
2024-01-04,2,65.0,2.239,44.132999999999996
2024-01-04,3,40.0,159.605,-9.769
2024-01-04,4,35.19694,16.983,21.868
2024-01-04,5,49.39,19.537,10.294000000000004
2024-01-04,6,70.1,187.306,-66.48700000000001
2024-01-04,7,97.61,73.485,183.80900000000003
2024-01-04,8,106.51,3.12,87.816
2024-01-04,9,109.49416,158.733,-261.289
2024-01-04,10,107.23976,164.289,-213.07100000000003
2024-01-04,11,94.35704,65.248,307.266
2024-01-04,12,87.10039,74.348,296.88800000000003
2024-01-04,13,83.81886,46.283,324.01
2024-01-04,14,85.96413,40.553,449.94100000000003
2024-01-04,15,92.11054,67.863,232.03700000000003
2024-01-04,16,103.34,69.306,236.18399999999997
2024-01-04,17,110.02,166.042,-119.253
2024-01-04,18,116.87,159.618,-348.128
2024-01-04,19,118.1,163.444,-351.821
2024-01-04,20,118.1,160.852,-373.50100000000003
2024-01-04,21,112.99,196.136,-183.942
2024-01-04,22,107.05,171.182,-281.63599999999997
