,hours,hours_traded,share_traded,mean,median,total,mean_ci_low,mean_ci_high,hit_rate,std,sharpe_ann,sortino_ann,var_5pct,cvar_5pct,max_drawdown,worst_hour,best_hour,tail_concentration_1pct
Oracle (system sign),1448.0,1431.0,0.9882596685082873,56.00096500690607,47.933499999999995,81089.39732999999,49.51198084894222,64.80344802718948,1.0,134.51775227519246,38.96439721665978,,17.936065999999997,7.938244657534245,0.0,0.0,4550.5019999999995,0.0
"LightGBM, buy side only",1256.0,561.0,0.446656050955414,7.407038144904459,0.0,9303.23991,3.347354542951441,12.00546027612569,0.5721925133689839,48.517298304599784,14.288940413768035,18.923868000047904,-51.04175,-74.46314984126984,-2121.1566299999995,-441.131,1026.372,0.057007804833393086
"Two-stage, LightGBM",1256.0,1256.0,1.0,9.481360310509555,25.579500000000003,11908.58855,1.6137235087281296,19.719989831295752,0.5469745222929936,143.27962046332993,6.193530513979818,28.31454595470267,-76.445105,-106.1492006349206,-2975.6002199999784,-441.131,4550.5019999999995,0.03165715020387029
"Seasonal median, |edge|>=20",1448.0,1020.0,0.7044198895027625,4.6642869129834255,0.0,6753.88745,-1.5858011535989376,10.600596525555753,0.5470588235294118,77.5040982857956,5.632648397122242,4.38311448095335,-64.973433,-131.6075198630137,-3428.882629999995,-1855.32571,1026.372,0.09225625702963755
Two-stage model,1256.0,1256.0,1.0,8.038940756369428,23.884000000000004,10096.909590000001,-0.4016702100236148,19.24157713123277,0.535828025477707,143.36785344602893,5.248063706365043,24.264960869654484,-75.67725000000002,-106.68972047619046,-3336.3412000000044,-441.131,4550.5019999999995,0.03182855739440435
"Two-stage, vol-scaled",1256.0,1256.0,1.0,1.049040775283684,0.4927058624597669,1317.595213756307,-0.42208959011851255,2.5974687420984712,0.535828025477707,20.31603002541299,4.83287515326915,8.295232518152492,-21.905119905277918,-33.861919120626176,-1008.6836241782995,-120.58906728978788,379.6465015251462,0.05746385058939899
Seasonal median,1448.0,1398.0,0.9654696132596685,5.930300124309393,18.427785,8587.07458,-2.7300115824068043,16.992382032490386,0.5400572246065808,145.22454570222368,3.821982546564763,6.454678571278239,-77.04940749999999,-146.51076780821919,-4258.9795200000035,-1855.32571,4550.5019999999995,0.06664497919744448
Always buy DA,1448.0,1448.0,1.0,3.3275979212707196,0.0,4818.361790000002,-6.424481552567821,12.140483063410985,0.49171270718232046,145.67848336625758,2.1379004857957975,1.6736561835868704,-66.0124,-191.02219986301367,-4759.523759999999,-4550.5019999999995,1026.372,0.11757253135327995
"LightGBM, sell side only",1256.0,406.0,0.3232484076433121,1.860703630573248,0.0,2337.0437599999996,-3.9416732224842765,10.67772829349633,0.5467980295566502,132.10805226013161,1.3182566430350755,8.682259594584371,-66.26625000000001,-84.6513149206349,-2006.3044299999997,-122.20979,4550.5019999999995,0.055005690841343984
"Two-stage, calendar only",1448.0,1448.0,1.0,1.4113978936464096,25.305,2043.704150000001,-6.97163624535665,8.65936915635798,0.544889502762431,145.70966905272044,0.906594638282398,0.6720381423004037,-72.68476399999999,-201.1161409589041,-5328.838519999999,-4550.5019999999995,1026.372,0.11847525960642136
Always sell DA,1448.0,1448.0,1.0,-3.3275979212707196,0.0,-4818.361790000002,-12.140483063410986,6.424481552567816,0.4965469613259669,145.67848336625758,-2.1379004857957975,-7.435854146855535,-83.8051,-116.01114452054796,-9445.634860000002,-1026.372,4550.5019999999995,0.03406961811242752
